Days Number,Ash,VM,Moisture,80,-25,CSR,CRI,M40,M10
Day 1,15.47,0.8,6.47,10,5.6,64.282,22.457,79.1,7.95
Day 2,15.43,0.77,6.67,9.2,5.2,65.38,22.65,79.4,7.7
Day 3,15.37,0.8,6.17,9.2,6,64.732,22.451,78.7,8.3
Day 4,15.37,0.8,5.77,9,6.9,65.041,22.679,79.15,8.55
Day 5,15.47,0.77,5.77,9.4,6.9,65.817,22.172,78.75,8.95
Day 6,15.27,0.8,6.4,10,6.2,65.39,22.906,78.6,8.9
Day 7,15.6,0.7,5.87,8.8,5.8,64.205,22.785,79,8.75
Day 8,15.23,0.8,5.63,9.2,7.2,65.829,22.645,78.6,8.9
Day 9,15.4,0.77,6.57,10,7,65.282,22.639,78.5,8.8
Day 10,15.53,0.8,6.37,9.6,6.9,65.714,22.867,78.7,8.75
Day 11,15.4,0.77,5.97,9.8,6.5,65.133,22.813,78.55,8.95
Day 12,15.47,0.83,5.83,10.4,6.4,65.645,22.55,78.6,8.9
Day 13,15.37,0.8,6.33,10.2,6.8,65.828,22.838,78.65,8.8
Day 14,15.2,0.83,6.03,11.2,5.2,65.05,22.645,78.75,8.75
Day 15,15.5,0.8,6.3,10,5.9,65.877,22.793,78.7,8.05
Day 16,15.5,0.73,5.23,9.4,6,65.081,22.895,78.3,8.4
Day 17,15.55,0.75,6.05,0,0,64.618,22.925,78.8,8
Day 18,15.37,0.77,5.93,9.8,6.4,65.686,22.604,78.65,8.6
Day 19,15.63,0.7,6.1,9.4,5.3,64.774,22.08,79.85,8.15
Day 20,15.6,0.77,5.93,10.4,5,65.848,22.695,79.2,8.65
Day 21,15.6,0.77,6.47,8.6,7.3,65.609,22.497,78.35,8.95
Day 22,15.53,0.8,6.03,9.6,7.2,64.13,22.517,78.45,9
Day 23,15.47,0.8,6,9.6,7.6,65.387,22.854,78.1,8.9
Day 24,15.43,0.8,6.37,9.2,7,64.589,22.748,78.55,8.1
Day 25,15.4,0.77,6.13,10,6.9,65.108,22.145,78.45,8.55
Day 26,15.5,0.83,5.23,8.6,7.8,64.698,22.575,78.15,8.9
Day 27,15.6,0.77,5.8,9,7.4,65.932,22.141,78.55,8.6
Day 28,15.5,0.77,5.63,9.2,6.4,65.724,22.618,78.9,8.55
Day 29,15.37,0.77,5.73,9.9,6,64.808,22.362,78.65,8.55
Day 30,0,0,0,0,0,65.795,22.173,0,0
Day 31,15.5,0.73,5.2,9,6.4,64.15,22.008,78.3,8.75
Day 32,15.43,0.8,5.33,10.2,5.8,65.019,22.28,78.8,8
Day 33,15.6,0.77,5.47,9.6,5.8,64.366,22.78,78.55,8.35
Day 34,15.5,0.77,6,10,6.2,65.496,22.508,78.9,8.2
Day 35,15.4,0.8,6,0,0,64.173,22.903,78.9,8.4
Day 36,15.5,0.77,6.13,9.6,5.8,65.752,22.789,78.9,7.75
Day 37,15.33,0.8,6.67,9.2,6.6,64.816,22.807,78.7,8.75
Day 38,15.4,0.83,6.33,11.4,5.6,65.024,22.992,79.8,7.85
Day 39,15.5,0.77,5.8,9.8,6.4,64.897,22.609,78.3,8.5
Day 40,15.6,0.8,5.77,10,6.8,64.795,22.768,78.35,8.7
Day 41,15.37,0.83,5.57,9.6,6,65.65,22.202,78.85,8.4
Day 42,15.53,0.8,5.03,9,5.8,65.211,22.369,78.85,8.15
Day 43,15.57,0.83,4.77,9.2,6.1,65.517,22.792,79.15,8.75
Day 44,15.6,0.77,4.87,10,5.8,64.508,22.837,78.35,8.75
Day 45,15.47,0.73,4.7,10.5,5,65.954,22.272,78.8,8.65
Day 46,15.5,0.8,5,9.8,5.7,65.316,22.14,78.65,8.55
Day 47,15.47,0.77,5.13,9.8,5.7,65.16,22.678,78.85,8.6
Day 48,15.37,0.8,4.9,9,7,64.6,22.155,78.65,8.4
Day 49,15.57,0.73,5.03,9,7,65.245,22.132,78.75,8.75
Day 50,15.6,0.73,5.67,8.2,7.2,64.467,22.653,79.1,7.95
Day 51,15.47,0.73,5.73,9.2,7,64.74,22.011,78.5,8.55
Day 52,15.5,0.77,5.73,9.8,6.5,65.001,22.804,78.75,8.65
Day 53,15.4,0.83,5.83,9.2,7,65.343,22.311,78.7,8.9
Day 54,15.37,0.8,5.43,10,6.4,65.207,22.403,78.55,8.75
Day 55,15.4,0.87,5.4,0,0,65.172,22.019,78.7,8.3
Day 56,15.63,0.77,5,9,7.3,65.049,22.86,78.3,8.95
Day 57,15.4,0.8,5.97,9.5,6,65.693,22.077,78.45,8.45
Day 58,15.5,0.73,4.97,9.8,7,64.762,22.659,78.43,8.8
Day 59,15.43,0.77,4.9,9,6.2,65.685,22.381,78.45,8.7
Day 60,15.53,0.73,5.7,9.4,7,65.736,22.019,78.5,8.6
Day 61,0,0,0,0,0,65.333,22.391,0,0
Day 62,15.5,0.8,5.83,9.6,6.4,65.828,22.218,78.75,8.6
Day 63,15.5,0.8,5.83,10.8,5.8,65.566,22.999,78.6,8.1
Day 64,15.63,0.73,5.23,10.2,5.3,64.727,22.593,78.9,8.55
Day 65,15.63,0.8,5.27,10,6,64.705,22.474,79.4,8.75
Day 66,15.37,0.8,5.07,9,7,65.317,22.482,78.35,8.35
Day 67,15.47,0.8,5.13,9.8,5.5,65.392,22.743,78.8,8.3
Day 68,15.3,0.77,5.43,9.8,7,65.6,22.477,78.55,8.4
Day 69,15.47,0.8,4.73,10.2,5.6,65.159,22.087,78.65,8.45
Day 70,15.5,0.8,4.83,11.8,6.2,65.11,22.659,79.15,8.25
Day 71,15.47,0.77,4.63,11,5.8,65.463,22.093,78.8,8.55
Day 72,15.47,0.83,4.6,10.2,5.9,64.67,22.551,78.95,8.6
Day 73,15.47,0.73,4.83,9.6,6.9,65.026,22.042,78.6,7.95
Day 74,15.4,0.8,5.03,9.5,5.7,65.348,22.214,78.6,8.45
Day 75,15.33,0.8,5.37,8.8,5.3,65.439,22.416,78.8,8.2
Day 76,15.43,0.8,4.7,9.5,6,65.401,22.033,78.9,8.3
Day 77,15.5,0.83,5.6,12,8,64.302,22.29,78.75,8.15
Day 78,15.5,0.7,5.07,11,7.2,64.94,22.565,78.7,8.6
Day 79,15.37,0.8,4.77,10.4,6.8,64.562,22,78.35,8.45
Day 80,15.43,0.77,4.97,10,5.7,64.702,22.68,78.85,8.55
Day 81,15.4,0.8,5.47,9,5.7,64.766,22.597,78.7,8.2
Day 82,15.4,0.83,4.9,10,6,64.546,22.099,78.8,8.35
Day 83,15.37,0.8,5.03,9,6.3,64.261,22.923,78.95,8.55
Day 84,15.53,0.77,5.3,9,7,64.865,22.378,78.55,8.2
Day 85,15.5,0.8,4.83,9,6.8,65.752,22.504,78.8,8.2
Day 86,15.5,0.83,5.53,9.6,7.2,64.094,22.855,78.65,8.65
Day 87,15.53,0.8,4.63,9.4,6.4,65.521,22.545,78.9,8.25
Day 88,15.4,0.8,4.77,8.7,7,64.04,22.498,78.9,8.6
Day 89,15.47,0.8,5.5,9,7.4,65.543,22.28,79.05,8.85
Day 90,15.5,0.77,4.8,9.4,6,64.412,22.495,78.9,8.45
Day 91,15.5,0.8,5.53,10,5.4,65.6,22.624,78.7,7.7
